State 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979
AL 89.8 95.4 101.1 102.9 108.2 111.7 116.2 117.1 123.0 121.4
AK 121.3 123.0 130.0 125.8 130.4 150.4 164.8 159.3 143.6 138.1
AZ 115.2 109.6 125.0 128.3 133.1 121.8 122.3 121.7 124.7 124.6
AR 100.3 104.1 103.9 108.0 109.7 114.8 119.1 122.6 127.3 126.5
CA 123.0 121.0 123.5 124.4 126.7 127.1 128.0 126.4 126.1 121.9
CO 124.8 125.5 134.3 137.9 132.8 131.0 134.2 132.0 129.2 131.5
CT 120.0 117.6 110.8 109.3 112.4 110.2 113.4 117.3 117.5 117.4
DE 155.0 161.1 156.3 154.7 151.3 147.6 153.0 153.3 155.5 150.2
DC 200.4 213.0 220.6 209.4 182.7 176.5 167.7 136.7 130.3 128.5
FL 123.6 123.0 126.0 132.6 136.0 131.9 130.3 133.1 133.4 135.4
GA 109.9 115.7 117.0 119.8 123.7 122.9 125.9 127.9 130.6 131.0
Hl 82.1 85.0 81.6 79.2 89.3 92.4 99.4 95.1 93.2 88.8
ID 102.4 108.5 126.1 121.8 125.6 123.3 125.1 125.0 122.8 117.5
IL 124.8 125.6 126.6 124.4 131.9 131.8 134.4 134.0 136.7 135.3
IN 134.6 139.3 149.2 156.0 159.6 162.4 166.6 173.0 150.9 148.9
IA 108.5 108.4 109.4 110.6 116.1 120.5 124.4 125.5 127.1 124.2
KS 114.0 102.8 111.0 115.2 118.6 123.4 127.7 127.9 127.1 126.4
KY 155.8 163.5 179.4 201.9 212.4 223.0 230.9 229.4 224.7 214.9
LA 115.9 119.8 125.3 126.7 129.9 133.6 139.6 140.0 142.7 140.1
ME 128.5 133.2 136.5 138.0 142.1 140.7 144.9 145.6 143.9 138.5
MD 123.5 126.7 133.2 137.3 144.8 146.1 137.1 135.7 134.1 131.9
MA 124.3 121.4 117.9 121.2 124.3 126.1 116.9 118.9 120.5 118.2
Ml 128.6 126.1 131.4 133.7 138.8 136.8 138.0 140.3 141.8 140.9
MN 104.3 116.4 96.8 106.8 110.6 111.5 116.7 117.2 118.9 118.3
MS 93.4 105.4 112.1 115.0 117.1 116.8 120.9 122.1 124.9 123.9
MO 121.3 127.6 130.0 132.1 135.4 135.6 139.5 140.8 141.8 140.2
MT 111.2 115.6 122.2 119.9 121.9 123.7 124.9 127.0 127.2 120.3
NE 108.1 108.6 104.9 106.6 110.5 114.1 118.1 117.7 117.4 116.1
NV 189.5 190.5 198.6 201.5 204.7 205.2 201.4 190.8 187.0 183.3
NH 265.7 278.0 296.2 279.0 269.8 269.1 290.5 278.8 269.6 254.6
NJ 120.7 125.1 128.4 120.2 121.4 122.3 122.4 122.8 123.9 123.8
NM 90.0 92.6 99.3 98.9 100.3 103.1 102.4 102.4 103.1 101.0
NY 119.0 123.3 119.9 118.7 121.6 123.9 124.6 125.5 126.4 124.4
NC 172.4 187.6 214.1 226.5 227.3 226.0 230.2 217.0 205.5 197.3
ND 93.8 98.5 103.8 108.7 110.5 117.9 125.4 122.2 121.9 121.3
OH 121.6 124.6 124.4 120.5 122.1 122.5 124.6 127.3 131.3 130.9
OK 108.4 115.4 121.7 124.1 130.5 132.9 138.6 140.4 143.6 141.6
OR 157.0 157.9 160.4 155.3 155.8 154.4 156.5 155.6 156.3 150.7
PA 107.3 106.3 109.0 110.7 114.2 114.6 118.8 120.1 122.3 122.6
Rl 123.9 123.2 134.4 142.0 146.1 154.7 150.2 148.8 146.8 145.8
SC 103.6 115.0 118.7 125.5 129.7 130.5 136.8 137.2 140.4 135.7
SD 92.7 96.7 103.0 103.5 108.4 113.5 116.7 115.6 116.9 117.4
TN 99.8 106.3 111.5 109.7 114.8 117.4 121.7 124.6 127.3 127.2
TX 106.4 108.9 108.6 110.4 114.7 116.0 121.4 124.2 126.6 126.4
UT 65.5 67.7 71.3 72.7 75.6 75.8 77.9 78.9 79.6 79.1
VT 122.6 124.4 138.0 146.8 151.8 155.5 171.1 169.4 162.4 160.9
VA 124.3 128.4 137.0 143.1 149.6 152.7 158.1 157.7 155.9 151.8
WA 96.7 97.0 88.5 91.0 98.6 99.5 100.3 99.3 101.3 101.4
WV 114.5 111.5 117.5 116.6 119.9 123.2 129.7 133.9 131.6 122.1
Wl 106.4 105.4 108.8 109.5 111.8 113.5 115.4 117.2 116.7 117.1
WY 132.2 131.7 140.0 141.2 145.8 160.7 161.5 160.4 160.3 168.6
