State 2010 2011 2012 2013 2014 2015 2016 2017 2018
AL 71.5 68.4 67.2 64.6 61.7 60.7 60.1 58.1 54.7
AK 43.8 43.3 41.2 39.0 37.2 35.8 35.6 32.9 31.1
AZ 24.8 27.1 25.0 24.4 23.0 23.0 23.1 22.5 21.8
AR 63.2 61.1 60.5 57.5 54.4 54.0 54.2 52.4 50.2
CA 26.3 26.0 25.2 23.9 22.7 22.3 22.0 20.5 16.6
CO 41.4 40.6 40.6 38.3 36.7 36.3 35.8 34.5 32.1
CT 40.8 36.3 33.5 31.4 30.1 28.6 28.3 26.5 23.8
DE 95.0 87.6 84.9 77.1 71.2 70.1 68.1 72.6 64.2
DC 23.1 24.2 20.0 18.6 16.2 15.8 14.8 13.2 12.9
FL 50.0 49.7 45.9 44.3 42.4 41.9 41.5 40.6 38.4
GA 55.3 54.3 53.1 49.9 49.0 47.3 47.3 45.6 45.7
Hl 36.2 32.9 29.8 27.0 25.4 26.8 25.4 25.1 24.2
ID 46.4 45.5 43.5 43.1 40.8 40.8 40.7 39.0 37.7
IL 44.1 45.3 46.5 31.7 33.6 33.4 31.5 30.7 28.3
IN 71.7 69.6 66.0 66.9 63.6 62.7 62.4 61.2 58.3
IA 51.3 49.1 48.6 48.5 47.1 46.5 47.7 45.0 43.0
KS 45.2 41.2 43.0 41.0 39.5 39.3 36.4 34.5 33.3
KY 110.7 103.7 100.1 93.5 89.0 84.5 87.0 85.6 81.6
LA 74.3 78.8 72.0 73.3 65.1 73.8 55.9 57.6 53.6
ME 53.0 51.1 48.9 48.5 47.4 46.9 48.9 49.6 45.4
MD 35.0 34.6 34.4 32.6 31.6 30.4 30.4 29.2 27.6
MA 33.7 34.2 33.5 32.2 27.1 25.9 25.6 24.3 23.0
Ml 48.8 46.4 46.7 45.4 44.5 44.5 44.9 44.4 42.5
MN 46.5 51.5 37.9 43.1 31.4 30.2 29.8 28.3 26.2
MS 70.3 67.9 66.5 63.9 61.2 62.6 59.2 59.4 56.3
MO 92.3 91.1 89.4 87.4 82.6 81.8 83.4 79.5 75.3
MT 47.3 45.5 45.5 44.3 43.0 42.2 42.2 41.1 37.2
NE 55.0 53.5 52.5 51.2 47.3 46.6 46.3 43.4 43.4
NV 48.1 45.7 43.1 43.2 41.6 46.4 30.9 36.3 31.6
NH 97.1 92.9 93.9 89.6 90.6 89.6 91.5 87.3 83.4
NJ 31.1 32.5 31.6 30.6 29.3 28.3 28.1 27.3 25.8
NM 30.3 27.3 26.7 26.4 24.6 25.8 24.6 24.0 23.6
NY 24.1 18.3 18.0 16.6 15.4 14.6 14.0 13.3 12.5
NC 61.5 60.9 60.7 57.5 56.7 54.1 54.4 54.5 53.2
ND 69.3 69.0 74.5 72.5 75.8 75.8 70.2 65.2 62.8
OH 59.3 56.8 55.7 54.6 53.3 52.4 50.8 50.1 47.6
OK 71.2 71.0 71.3 67.2 64.3 62.6 61.2 60.5 58.1
OR 44.7 47.0 44.7 43.3 41.4 40.5 40.0 38.3 37.2
PA 57.0 56.4 55.0 52.8 50.8 48.5 48.2 40.5 37.8
Rl 37.1 36.3 35.8 35.3 36.7 36.8 35.2 34.2 31.4
SC 84.5 69.9 61.9 62.0 58.9 56.1 57.3 55.5 53.1
SD 48.6 43.8 42.8 42.7 42.3 40.7 44.6 41.6 40.2
TN 72.6 71.7 68.3 66.2 62.6 62.2 61.6 59.2 56.0
TX 38.2 38.7 36.7 36.2 33.7 33.8 32.8 31.9 29.1
UT 26.7 22.3 23.0 21.4 19.5 20.0 18.5 18.4 17.1
VT 47.7 48.7 45.7 42.1 40.4 40.4 37.4 36.3 32.8
VA 68.9 67.1 72.4 69.4 67.0 66.1 63.6 60.8 55.7
WA 25.6 21.7 20.3 19.5 18.6 18.8 18.0 17.0 16.1
WV 113.0 107.9 105.0 103.1 97.4 97.3 95.5 82.2 75.7
Wl 48.2 42.5 41.2 39.8 39.9 39.5 39.7 39.0 37.2
WY 65.7 70.5 61.5 60.8 56.4 58.6 54.6 52.4 50.4
