State 2019 2020 2021 2022
AL 53.1 50.8 50.2 44.9
AK 30.4 29.5 29.5 26.7
AZ 20.7 20.9 20.8 19.8
AR 47.6 47.5 47.3 43.5
CA 15.8 15.1 15.0 13.8
CO 30.4 29.2 27.5 24.1
CT 21.9 20.8 20.6 19.0
DE 56.9 52.2 52.8 50.0
DC 9.1 7.2 5.2 5.6
FL 36.2 35.2 34.4 32.3
GA 43.3 41.8 42.1 38.3
Hl 22.5 22.6 21.1 18.5
ID 35.8 34.1 33.4 30.0
IL 29.3 21.4 22.4 20.9
IN 56.5 56.3 54.9 51.6
IA 41.6 41.4 41.1 37.8
KS 31.1 31.3 30.0 28.8
KY 73.3 73.6 71.9 66.6
LA 50.8 49.5 48.9 45.6
ME 42.6 45.6 43.9 42.2
MD 26.4 25.7 23.5 18.5
MA 21.3 19.8 15.1 14.8
Ml 41.3 39.9 39.1 36.7
MN 24.6 24.5 25.1 20.4
MS 53.8 54.5 53.3 50.7
MO 72.2 72.1 71.1 66.8
MT 36.4 35.4 34.2 31.5
NE 40.6 39.8 39.1 36.4
NV 32.0 30.1 29.1 27.2
NH 78.4 81.3 93.0 82.7
NJ 24.1 23.5 21.8 20.9
NM 22.6 20.4 20.0 18.9
NY 11.7 11.2 10.5 9.8
NC 51.6 49.9 52.4 48.7
ND 59.9 58.6 55.5 51.7
OH 45.7 45.3 44.8 41.6
OK 42.8 46.5 46.3 44.7
OR 35.0 33.6 29.6 25.6
PA 35.7 34.9 33.7 31.7
Rl 29.1 29.0 31.9 29.7
SC 52.6 47.6 47.9 44.2
SD 35.0 36.5 35.9 33.2
TN 55.5 52.1 52.2 48.1
TX 28.8 28.5 26.3 25.8
UT 15.9 16.1 14.9 13.7
VT 31.5 30.5 31.1 29.2
VA 51.6 53.1 45.2 43.0
WA 15.0 14.1 13.8 13.1
WV 75.0 74.1 73.4 71.3
Wl 35.4 36.0 34.6 32.7
WY 49.4 46.4 47.7 43.3
