state,year,packs_percap
AL,1950,77.9
AL,1951,75
AL,1952,81.1
AL,1953,81.8
AL,1954,78.3
AL,1955,77.3
AL,1956,81.1
AL,1957,82.3
AL,1958,84.4
AL,1959,89.2
AK,1950,NA
AK,1951,NA
AK,1952,NA
AK,1953,NA
AK,1954,NA
AK,1955,NA
AK,1956,NA
AK,1957,NA
AK,1958,NA
AK,1959,102.8
AZ,1950,117.1
AZ,1951,114.2
AZ,1952,125.6
AZ,1953,122.7
AZ,1954,112.3
AZ,1955,112
AZ,1956,107.3
AZ,1957,114.8
AZ,1958,116.2
AZ,1959,120.8
AR,1950,67.5
AR,1951,64.9
AR,1952,62
AR,1953,66.6
AR,1954,66
AR,1955,65.2
AR,1956,75.9
AR,1957,74.4
AR,1958,74.4
AR,1959,83.4
CA,1950,NA
CA,1951,NA
CA,1952,NA
CA,1953,NA
CA,1954,NA
CA,1955,NA
CA,1956,NA
CA,1957,NA
CA,1958,NA
CA,1959,NA
CO,1950,NA
CO,1951,NA
CO,1952,NA
CO,1953,NA
CO,1954,NA
CO,1955,NA
CO,1956,NA
CO,1957,NA
CO,1958,NA
CO,1959,NA
CT,1950,133.4
CT,1951,137.7
CT,1952,146.3
CT,1953,151.1
CT,1954,144.3
CT,1955,135.4
CT,1956,141.9
CT,1957,144.3
CT,1958,145.7
CT,1959,149.2
DE,1950,166
DE,1951,169.4
DE,1952,167.4
DE,1953,172.6
DE,1954,155.6
DE,1955,137.4
DE,1956,139.8
DE,1957,139.9
DE,1958,141.9
DE,1959,152.3
DC,1950,176.4
DC,1951,178.3
DC,1952,178.5
DC,1953,172.2
DC,1954,150.2
DC,1955,139.1
DC,1956,132.3
DC,1957,141.7
DC,1958,145.6
DC,1959,173.2
FL,1950,127.8
FL,1951,124.2
FL,1952,127.5
FL,1953,128.7
FL,1954,122.8
FL,1955,124.8
FL,1956,127
FL,1957,130.2
FL,1958,131.8
FL,1959,134.2
GA,1950,75.9
GA,1951,76.7
GA,1952,90.7
GA,1953,92.1
GA,1954,90.2
GA,1955,92
GA,1956,84.6
GA,1957,86.8
GA,1958,87
GA,1959,91.3
Hl,1950,NA
Hl,1951,NA
Hl,1952,NA
Hl,1953,NA
Hl,1954,NA
Hl,1955,NA
Hl,1956,NA
Hl,1957,NA
Hl,1958,NA
Hl,1959,NA
ID,1950,101.2
ID,1951,98.6
ID,1952,99
ID,1953,104.2
ID,1954,95.2
ID,1955,94.4
ID,1956,91.4
ID,1957,93.5
ID,1958,93.6
ID,1959,99.4
IL,1950,115.8
IL,1951,112.5
IL,1952,117.5
IL,1953,123.7
IL,1954,121.9
IL,1955,117.9
IL,1956,122.4
IL,1957,126.3
IL,1958,128.7
IL,1959,132.6
IN,1950,117.4
IN,1951,117.1
IN,1952,117
IN,1953,119.6
IN,1954,115.8
IN,1955,111.7
IN,1956,114.5
IN,1957,115.3
IN,1958,116.9
IN,1959,121.6
IA,1950,102.4
IA,1951,101.1
IA,1952,100.4
IA,1953,101.3
IA,1954,95.9
IA,1955,92.8
IA,1956,91.9
IA,1957,94.1
IA,1958,97.2
IA,1959,108.3
KS,1950,97.2
KS,1951,94.6
KS,1952,99.7
KS,1953,102.8
KS,1954,98
KS,1955,95.8
KS,1956,96.9
KS,1957,95.9
KS,1958,98.9
KS,1959,104.3
KY,1950,96.9
KY,1951,97.1
KY,1952,106.6
KY,1953,108.5
KY,1954,106.7
KY,1955,93.1
KY,1956,100.5
KY,1957,105.1
KY,1958,104.4
KY,1959,114.9
LA,1950,85.5
LA,1951,83.4
LA,1952,81.9
LA,1953,88.1
LA,1954,86.3
LA,1955,86.3
LA,1956,91.7
LA,1957,95.6
LA,1958,97.3
LA,1959,101.4
ME,1950,134.5
ME,1951,128.6
ME,1952,133.7
ME,1953,138
ME,1954,133.7
ME,1955,133.3
ME,1956,128.3
ME,1957,128
ME,1958,129.7
ME,1959,135.5
MD,1950,NA
MD,1951,NA
MD,1952,NA
MD,1953,NA
MD,1954,NA
MD,1955,NA
MD,1956,NA
MD,1957,NA
MD,1958,NA
MD,1959,124.2
MA,1950,109.2
MA,1951,126.4
MA,1952,121.4
MA,1953,125.2
MA,1954,118.9
MA,1955,117
MA,1956,121.2
MA,1957,124.3
MA,1958,126.6
MA,1959,128.4
Ml,1950,120.3
Ml,1951,122.2
Ml,1952,125.1
Ml,1953,130.5
Ml,1954,127.6
Ml,1955,120.5
Ml,1956,122.4
Ml,1957,123
Ml,1958,119.2
Ml,1959,122.8
MN,1950,100.4
MN,1951,97.3
MN,1952,100.3
MN,1953,100.7
MN,1954,96.9
MN,1955,94.4
MN,1956,96.2
MN,1957,97.4
MN,1958,100.9
MN,1959,107.3
MS,1950,76.4
MS,1951,78.3
MS,1952,78.8
MS,1953,76.8
MS,1954,77.1
MS,1955,73.7
MS,1956,71.7
MS,1957,73.7
MS,1958,75.7
MS,1959,80
MO,1950,NA
MO,1951,NA
MO,1952,NA
MO,1953,NA
MO,1954,NA
MO,1955,NA
MO,1956,119.6
MO,1957,117.3
MO,1958,120.4
MO,1959,129.8
MT,1950,133.5
MT,1951,117.5
MT,1952,123.6
MT,1953,129.7
MT,1954,121.1
MT,1955,118.6
MT,1956,123.9
MT,1957,119.3
MT,1958,100.6
MT,1959,113.7
NE,1950,105.2
NE,1951,103.5
NE,1952,106.5
NE,1953,108.2
NE,1954,103
NE,1955,101
NE,1956,100.6
NE,1957,99.1
NE,1958,100.5
NE,1959,107.2
NV,1950,176.4
NV,1951,176.7
NV,1952,184.1
NV,1953,202.3
NV,1954,185.3
NV,1955,184.7
NV,1956,175.4
NV,1957,165.2
NV,1958,172.4
NV,1959,188.3
NH,1950,178.4
NH,1951,188.8
NH,1952,184
NH,1953,179.1
NH,1954,167
NH,1955,162.7
NH,1956,167.9
NH,1957,166.5
NH,1958,173.6
NH,1959,193.2
NJ,1950,131.7
NJ,1951,134
NJ,1952,136.9
NJ,1953,138.6
NJ,1954,135
NJ,1955,130.7
NJ,1956,130.9
NJ,1957,126.1
NJ,1958,129.5
NJ,1959,134.8
NM,1950,93.7
NM,1951,93.9
NM,1952,91.4
NM,1953,95.2
NM,1954,94
NM,1955,92.3
NM,1956,89.4
NM,1957,86.1
NM,1958,94
NM,1959,98.6
NY,1950,140
NY,1951,136
NY,1952,138.8
NY,1953,140.1
NY,1954,133.6
NY,1955,129.7
NY,1956,132.5
NY,1957,133.6
NY,1958,138.6
NY,1959,143.1
NC,1950,NA
NC,1951,NA
NC,1952,NA
NC,1953,NA
NC,1954,NA
NC,1955,NA
NC,1956,NA
NC,1957,NA
NC,1958,NA
NC,1959,NA
ND,1950,94.9
ND,1951,82.6
ND,1952,87
ND,1953,87
ND,1954,80.1
ND,1955,79.4
ND,1956,79.5
ND,1957,81.9
ND,1958,88.1
ND,1959,94.5
OH,1950,119.6
OH,1951,125.6
OH,1952,131.5
OH,1953,134.9
OH,1954,125.9
OH,1955,117.5
OH,1956,121.7
OH,1957,124.2
OH,1958,125.1
OH,1959,126.4
OK,1950,93.5
OK,1951,89.3
OK,1952,93
OK,1953,97.2
OK,1954,96.2
OK,1955,94.4
OK,1956,97
OK,1957,96.4
OK,1958,99.5
OK,1959,106.8
OR,1950,NA
OR,1951,NA
OR,1952,NA
OR,1953,NA
OR,1954,NA
OR,1955,NA
OR,1956,NA
OR,1957,NA
OR,1958,NA
OR,1959,NA
PA,1950,109.2
PA,1951,111.7
PA,1952,111.4
PA,1953,113
PA,1954,109
PA,1955,103.8
PA,1956,105.5
PA,1957,107.8
PA,1958,111.9
PA,1959,116.8
Rl,1950,140
Rl,1951,149.6
Rl,1952,156.1
Rl,1953,160
Rl,1954,150.1
Rl,1955,142
Rl,1956,144.1
Rl,1957,142.1
Rl,1958,144.5
Rl,1959,139.1
SC,1950,93.5
SC,1951,70.9
SC,1952,87.3
SC,1953,91.1
SC,1954,83.9
SC,1955,81.3
SC,1956,81.9
SC,1957,81.2
SC,1958,84.3
SC,1959,91
SD,1950,100.5
SD,1951,95.2
SD,1952,94.5
SD,1953,96.9
SD,1954,93.7
SD,1955,91.2
SD,1956,89.5
SD,1957,88
SD,1958,94.7
SD,1959,102.4
TN,1950,85.2
TN,1951,84.4
TN,1952,78.9
TN,1953,82.1
TN,1954,81.2
TN,1955,81.5
TN,1956,82.4
TN,1957,85.3
TN,1958,86.7
TN,1959,93.8
TX,1950,123.1
TX,1951,111.8
TX,1952,114.1
TX,1953,116.2
TX,1954,109.9
TX,1955,109.3
TX,1956,101.3
TX,1957,104
TX,1958,106.7
TX,1959,110.5
UT,1950,71.6
UT,1951,72
UT,1952,72.3
UT,1953,72.3
UT,1954,66.4
UT,1955,61.9
UT,1956,62.5
UT,1957,62.8
UT,1958,63
UT,1959,66.7
VT,1950,131.1
VT,1951,123.7
VT,1952,131.5
VT,1953,134.1
VT,1954,126
VT,1955,122.2
VT,1956,125.2
VT,1957,129.3
VT,1958,124.9
VT,1959,136.8
VA,1950,NA
VA,1951,NA
VA,1952,NA
VA,1953,NA
VA,1954,NA
VA,1955,NA
VA,1956,NA
VA,1957,NA
VA,1958,NA
VA,1959,NA
WA,1950,93.3
WA,1951,110.9
WA,1952,113.3
WA,1953,115.1
WA,1954,110.9
WA,1955,106.9
WA,1956,104.5
WA,1957,102.5
WA,1958,101.9
WA,1959,105.9
WV,1950,118
WV,1951,127.1
WV,1952,99.3
WV,1953,96.3
WV,1954,90.9
WV,1955,80.8
WV,1956,92.6
WV,1957,95
WV,1958,99
WV,1959,101.7
Wl,1950,106.8
Wl,1951,103.5
Wl,1952,106.3
Wl,1953,107.8
Wl,1954,103.6
Wl,1955,101.1
Wl,1956,99.8
Wl,1957,103
Wl,1958,101.1
Wl,1959,107.8
WY,1950,NA
WY,1951,NA
WY,1952,141.6
WY,1953,143.6
WY,1954,139.3
WY,1955,133.8
WY,1956,128.3
WY,1957,123.7
WY,1958,121.1
WY,1959,129.8
AL,1960,87.2
AL,1961,92.3
AL,1962,92.7
AL,1963,93.9
AL,1964,95.4
AL,1965,98.5
AL,1966,96.4
AL,1967,95.5
AL,1968,88.4
AL,1969,90.1
AK,1960,111.8
AK,1961,132.7
AK,1962,111.7
AK,1963,106.9
AK,1964,106.9
AK,1965,104.2
AK,1966,128.4
AK,1967,112.5
AK,1968,117.2
AK,1969,121.2
AZ,1960,127.7
AZ,1961,129.8
AZ,1962,130.1
AZ,1963,125
AZ,1964,121
AZ,1965,123.2
AZ,1966,113.9
AZ,1967,117.1
AZ,1968,115.6
AZ,1969,113.8
AR,1960,89.2
AR,1961,94.1
AR,1962,99.2
AR,1963,103.4
AR,1964,102.6
AR,1965,100.3
AR,1966,98.9
AR,1967,102.9
AR,1968,104
AR,1969,102.9
CA,1960,142
CA,1961,142.4
CA,1962,141.5
CA,1963,142
CA,1964,138.3
CA,1965,140
CA,1966,136.8
CA,1967,135.8
CA,1968,124.3
CA,1969,123.9
CO,1960,NA
CO,1961,NA
CO,1962,NA
CO,1963,NA
CO,1964,NA
CO,1965,131.5
CO,1966,123.2
CO,1967,123.5
CO,1968,126.4
CO,1969,124.6
CT,1960,153.7
CT,1961,160.1
CT,1962,152.3
CT,1963,156.2
CT,1964,143.5
CT,1965,147
CT,1966,144.5
CT,1967,145.6
CT,1968,143.2
CT,1969,144.7
DE,1960,159.9
DE,1961,172.2
DE,1962,175.8
DE,1963,165.8
DE,1964,170.9
DE,1965,170.8
DE,1966,161.3
DE,1967,158.2
DE,1968,164.8
DE,1969,175.5
DC,1960,186.7
DC,1961,215.1
DC,1962,236.3
DC,1963,246.4
DC,1964,235.3
DC,1965,246.5
DC,1966,295.9
DC,1967,249.8
DC,1968,224.3
DC,1969,212.2
FL,1960,138.9
FL,1961,141.1
FL,1962,140.3
FL,1963,137.5
FL,1964,125.5
FL,1965,131.1
FL,1966,131.3
FL,1967,132.8
FL,1968,129.3
FL,1969,121.2
GA,1960,101.2
GA,1961,107.5
GA,1962,106.2
GA,1963,108.3
GA,1964,107.6
GA,1965,103.8
GA,1966,104.8
GA,1967,106.7
GA,1968,105
GA,1969,108.6
Hl,1960,71.3
Hl,1961,78.6
Hl,1962,80.1
Hl,1963,76.7
Hl,1964,76.1
Hl,1965,83.4
Hl,1966,57.2
Hl,1967,72.7
Hl,1968,75.7
Hl,1969,77.8
ID,1960,100.2
ID,1961,102.3
ID,1962,99.1
ID,1963,97
ID,1964,90.1
ID,1965,95.2
ID,1966,94.5
ID,1967,98.3
ID,1968,99.1
ID,1969,100.6
IL,1960,134.6
IL,1961,138.1
IL,1962,140.6
IL,1963,145.5
IL,1964,144.5
IL,1965,145.5
IL,1966,144.2
IL,1967,141.8
IL,1968,132.6
IL,1969,130.4
IN,1960,128.8
IN,1961,131.7
IN,1962,134.3
IN,1963,138.5
IN,1964,134.3
IN,1965,135.3
IN,1966,132.1
IN,1967,134.8
IN,1968,134.3
IN,1969,132.9
IA,1960,107.6
IA,1961,111.3
IA,1962,113.3
IA,1963,114.9
IA,1964,109.7
IA,1965,116
IA,1966,108.2
IA,1967,113.7
IA,1968,109.2
IA,1969,107.9
KS,1960,106.7
KS,1961,110.1
KS,1962,113.9
KS,1963,115.8
KS,1964,111.2
KS,1965,107.8
KS,1966,101.7
KS,1967,101.2
KS,1968,100.1
KS,1969,102.6
KY,1960,113.6
KY,1961,121.2
KY,1962,121.4
KY,1963,126.3
KY,1964,127
KY,1965,128.7
KY,1966,134
KY,1967,139.3
KY,1968,142.8
KY,1969,146.3
LA,1960,108.3
LA,1961,109.5
LA,1962,109.7
LA,1963,114
LA,1964,114
LA,1965,117.5
LA,1966,119.7
LA,1967,120
LA,1968,117.3
LA,1969,115.9
ME,1960,141.8
ME,1961,145.9
ME,1962,139.3
ME,1963,138.4
ME,1964,137.4
ME,1965,139.1
ME,1966,135.1
ME,1967,136
ME,1968,135.6
ME,1969,135.2
MD,1960,125.6
MD,1961,122.9
MD,1962,120
MD,1963,122.7
MD,1964,122.2
MD,1965,121
MD,1966,121
MD,1967,121.7
MD,1968,121.7
MD,1969,122.3
MA,1960,131.1
MA,1961,136
MA,1962,138.2
MA,1963,142.2
MA,1964,138.7
MA,1965,136.5
MA,1966,131.6
MA,1967,130.2
MA,1968,128
MA,1969,129.7
Ml,1960,125.6
Ml,1961,127.1
Ml,1962,128.2
Ml,1963,126.7
Ml,1964,125
